time,symbol,decision,confidence,entry,sl,tp,atr,risk_amount,lot_units,outcome,pnl_r,pnl_money,balance,reason
2024-01-13 06:00:00,EURUSD,BUY,85,1.09037,1.08678,1.09933,0.00179,100.0,27905.23,OPEN,0.06,5.68,10005.68,Alignement BUY H1/H4 + VWAP/MACD
2024-01-14 10:00:00,EURUSD,BUY,75,1.0951,1.09106,1.10522,0.00202,100.06,24723.39,OPEN,-0.12,-12.22,9993.46,Alignement BUY H1/H4 + VWAP/MACD
2024-01-16 06:00:00,EURUSD,BUY,90,1.09203,1.08781,1.10259,0.00211,99.93,23654.4,OPEN,0.23,22.73,10016.19,Alignement BUY H1/H4 + VWAP/MACD
2024-01-18 06:00:00,EURUSD,SELL,90,1.085,1.08882,1.07546,0.00191,100.16,26236.39,OPEN,0.45,45.2,10061.39,Alignement SELL H1/H4 + VWAP/MACD
2024-01-19 06:00:00,EURUSD,SELL,85,1.08142,1.08575,1.07059,0.00217,100.61,23234.14,OPEN,-0.11,-10.67,10050.72,Alignement SELL H1/H4 + VWAP/MACD
2024-01-20 08:00:00,EURUSD,SELL,85,1.08076,1.0846,1.07118,0.00192,100.51,26220.33,OPEN,-0.53,-52.94,9997.78,Alignement SELL H1/H4 + VWAP/MACD
2024-01-21 08:00:00,EURUSD,SELL,90,1.0819,1.08607,1.07146,0.00209,99.98,23948.06,OPEN,-0.38,-38.42,9959.35,Alignement SELL H1/H4 + VWAP/MACD
2024-01-22 08:00:00,EURUSD,BUY,90,1.08525,1.08149,1.09465,0.00188,99.59,26496.81,OPEN,0.48,47.35,10006.7,Alignement BUY H1/H4 + VWAP/MACD
2024-01-23 10:00:00,EURUSD,BUY,90,1.09262,1.08825,1.10356,0.00219,100.07,22871.19,OPEN,0.05,4.68,10011.38,Alignement BUY H1/H4 + VWAP/MACD
2024-01-24 06:00:00,EURUSD,BUY,85,1.09465,1.09119,1.10331,0.00173,100.11,28895.24,OPEN,-0.35,-35.24,9976.15,Alignement BUY H1/H4 + VWAP/MACD
2024-01-26 06:00:00,EURUSD,BUY,80,1.08939,1.0853,1.09963,0.00205,99.76,24350.53,LOSS,-1.0,-99.76,9876.39,Alignement BUY H1/H4 + VWAP/MACD
2024-01-27 06:00:00,EURUSD,SELL,95,1.0843,1.0885,1.07378,0.0021,98.76,23476.51,OPEN,0.49,47.95,9924.34,Alignement SELL H1/H4 + VWAP/MACD
2024-01-28 12:00:00,EURUSD,SELL,75,1.07615,1.08033,1.06571,0.00209,99.24,23755.37,OPEN,0.3,29.96,9954.3,Alignement SELL H1/H4 + VWAP/MACD
2024-01-30 10:00:00,EURUSD,SELL,80,1.08022,1.08459,1.06929,0.00219,99.54,22773.83,OPEN,0.66,65.23,10019.53,Alignement SELL H1/H4 + VWAP/MACD
2024-02-01 07:00:00,EURUSD,BUY,85,1.0861,1.08255,1.09499,0.00178,100.2,28189.94,OPEN,0.31,31.52,10051.05,Alignement BUY H1/H4 + VWAP/MACD
2024-02-03 13:00:00,EURUSD,SELL,85,1.08094,1.08507,1.07063,0.00206,100.51,24356.31,OPEN,0.58,58.54,10109.59,Alignement SELL H1/H4 + VWAP/MACD
2024-02-04 09:00:00,EURUSD,SELL,75,1.07781,1.08214,1.06701,0.00216,101.1,23396.65,OPEN,-0.04,-4.41,10105.19,Alignement SELL H1/H4 + VWAP/MACD
2024-02-05 06:00:00,EURUSD,SELL,95,1.07746,1.08138,1.06767,0.00196,101.05,25797.41,OPEN,-0.34,-34.08,10071.11,Alignement SELL H1/H4 + VWAP/MACD
2024-02-06 07:00:00,EURUSD,SELL,90,1.07924,1.08325,1.06922,0.002,100.71,25121.45,OPEN,0.56,55.96,10127.07,Alignement SELL H1/H4 + VWAP/MACD
2024-02-08 11:00:00,EURUSD,BUY,90,1.08589,1.08162,1.09658,0.00214,101.27,23692.68,OPEN,-0.1,-10.57,10116.5,Alignement BUY H1/H4 + VWAP/MACD
2024-02-09 11:00:00,EURUSD,BUY,85,1.08886,1.08512,1.09819,0.00187,101.17,27088.06,OPEN,0.0,0.41,10116.92,Alignement BUY H1/H4 + VWAP/MACD
2024-02-10 11:00:00,EURUSD,BUY,90,1.08846,1.08443,1.09854,0.00202,101.17,25100.33,OPEN,0.5,50.68,10167.6,Alignement BUY H1/H4 + VWAP/MACD
2024-02-13 06:00:00,EURUSD,BUY,80,1.08486,1.08141,1.09349,0.00173,101.68,29468.38,OPEN,0.11,11.08,10178.69,Alignement BUY H1/H4 + VWAP/MACD
2024-02-14 12:00:00,EURUSD,SELL,90,1.08145,1.08525,1.07196,0.0019,101.79,26803.69,OPEN,-0.06,-5.82,10172.87,Alignement SELL H1/H4 + VWAP/MACD
